Location,Agegroup,Bin_cml,Cml,Bin,PeakMagnitude,Week1,Week2,Week3,Week4,Week5,Week6,Week7,Week8,Week9,Week10,Week11,Week12,Week13,Week14,Week15,Week16,Week17,Week18,Week19,Week20,Week21,Week22,Week23,Week24,Week25,Week26,Week27,Week28,Week29,Week30,Week31,Week32,Week33,Week34,Week35,Week36,Week37,Week38,Week39,Week40,Week41,Week42,Week43,Week44,Week45,Week46,Week47,Week48,Week49,Week50,Week51,Week52
US National,Overall,[0-1),0,[0-0.25),0,1,1,1,1,1,1,1,1,0.86,0.41,0.0766666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.22,0.686666666666667,0.956666666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
US National,Overall,[1-2),0,[0.25-0.5),0,0,0,0,0,0,0,0,0,0.14,0.493333333333333,0.436666666666667,0.146666666666667,0.0166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0.0133333333333333,0.153333333333333,0.36,0.253333333333333,0.0433333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[2-3),0,[0.5-0.75),0,0,0,0,0,0,0,0,0,0,0.08,0.316666666666667,0.246666666666667,0.0733333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0.0566666666666667,0.2,0.21,0.0433333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[3-4),0,[0.75-1),0,0,0,0,0,0,0,0,0,0,0.0166666666666667,0.103333333333333,0.21,0.116666666666667,0.03,0,0,0,0,0,0,0,0,0,0,0.00666666666666667,0.0733333333333333,0.163333333333333,0.103333333333333,0.0166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[4-5),0,[1-1.25),0,0,0,0,0,0,0,0,0,0,0,0.0433333333333333,0.173333333333333,0.146666666666667,0.03,0,0,0,0,0,0,0,0,0,0,0.0133333333333333,0.0666666666666667,0.113333333333333,0.0566666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[5-6),0,[1.25-1.5),0,0,0,0,0,0,0,0,0,0,0,0.0233333333333333,0.0766666666666667,0.11,0.0566666666666667,0.0166666666666667,0,0,0,0,0,0,0,0,0,0.0366666666666667,0.0866666666666667,0.0966666666666667,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[6-7),0,[1.5-1.75),0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.1,0.08,0.0133333333333333,0,0,0,0,0,0,0,0,0,0.0366666666666667,0.123333333333333,0.07,0.0166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[7-8),0,[1.75-2),0,0,0,0,0,0,0,0,0,0,0,0,0.0333333333333333,0.0966666666666667,0.08,0.01,0,0,0,0,0,0,0,0,0.0133333333333333,0.0366666666666667,0.08,0.0666666666666667,0.0133333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[8-9),0,[2-2.25),0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.11,0.0766666666666667,0.0233333333333333,0,0,0,0,0,0,0,0,0.00666666666666667,0.0433333333333333,0.0666666666666667,0.0266666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[9-10),0,[2.25-2.5),0,0,0,0,0,0,0,0,0,0,0,0,0.00333333333333333,0.0366666666666667,0.0466666666666667,0.0333333333333333,0.00666666666666667,0,0,0,0,0,0,0,0.01,0.0366666666666667,0.05,0.0333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
